ID,feature1,feature2,feature3,feature4,class
1,5.1,3.5,1.4,0.2,set1
2,4.9,3,1.4,0.2,set1
3,4.7,3.2,1.3,0.2,set1
4,4.6,3.1,1.5,0.2,set1
5,5,3.6,1.4,0.2,set1
6,7,3.2,4.7,1.4,set2
7,6.4,3.2,4.5,1.5,set2
8,6.9,3.1,4.9,1.5,set2
9,5.5,2.3,4,1.3,set2
10,6.5,2.8,4.6,1.3,set2
11,6.3,3.3,6,2.5,set3
12,5.8,2.7,5.1,1.9,set3
13,7.1,3,5.9,2.1,set3
14,6.3,2.9,5.6,1.8,set3
15,6.5,3,5.8,2.2,set3
16,6.2,3.4,6,1.9,set3
17,5.9,3,6.1,2.3,set3
18,4.8,3.1,1.6,0.2,set4
19,5.4,3,4.5,1.5,set4
20,6,3.4,4.5,1.6,set4
21,6.7,3.1,4.7,1.5,set4
22,6.3,2.3,4.4,1.3,set4
23,5.6,3,4.1,1.3,set4
24,5.5,2.5,4,1.3,set4
25,5.5,2.6,4.4,1.2,set4
26,6.1,3,4.6,1.4,set4
27,5.8,2.6,4,1.2,set4
28,5,2.3,3.3,1,set4
29,5.6,2.7,4.2,1.3,set4
30,5.7,3,4.2,1.2,set4
31,5.7,2.9,4.2,1.3,set4
32,6.2,2.9,4.3,1.3,set4
33,5.1,2.5,3,1.1,set5
34,5.7,2.8,4.1,1.3,set5
35,6.3,3.3,6,2.5,set5
36,5.8,2.7,5.1,1.9,set5
37,7.1,3,5.9,2.1,set5
38,6.3,2.9,5.6,1.8,set5
39,6.5,3,5.8,2.2,set5
40,6.2,3.4,6,1.9,set5
41,5.9,3,6.1,2.3,set5
42,4.8,3.1,1.6,0.2,set6
43,5.4,3,4.5,1.5,set6
44,6,3.4,4.5,1.6,set6
45,6.7,3.1,4.7,1.5,set6
46,6.3,2.3,4.4,1.3,set6
47,5.6,3,4.1,1.3,set6
48,5.5,2.5,4,1.3,set6
49,5.5,2.6,4.4,1.2,set6
50,6.1,3,4.6,1.4,set6
